Comment,Designator,Footprint,LCSC,Quantity
B3B-XH-A,"J1,J2,J5",CONN_B3B-XH-A_JST,C144394,3
B6B-XH-A,J3,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,C144397,1
B2B-XH-A,J4,CONN_B2B-XH-A_JST,C158012,1
1k,"R1,R3,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,3
470,"R2,R4,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710,3
0.1uF,"C1,C10,C11,C12,C13,C14,C15,C2,C3,C4,C5,C6,C7,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,15
DMN3023L-7,"Q1,Q2,Q3",SOT96P240X100-3N,C443825,3
BMP581,U1,QFN10_BMP581_BOS,C5362283,1
TPS79318-EP,U5,SOT-23-5,C7102,1
ICM-20948,U4,QFN24_3X3X0P9_IVS,C726001,1
LD1117S50CTR,"U7,U9",LD1117S50CTR,C81157,2
282837-2,"P1,P2,P3",CUI_TB002-500-02BE,C8269,3
TPS79333-EP,U3,SOT-23-5,C9840,1
XT30UPB-M,"U10,U8",XT30UPB-M,C99101,2
Jumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
DEVKIT_V1_ESP32-WROOM-32,U2,MODULE_DEVKIT_V1_ESP32-WROOM-32,,1
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
